non-deterministic,no-asm,no-mixed-refs,no-chroma-me,no-8x8dct,no-fast-pskip,no-dct-decimate,no-scenecut,no-cabac,no-deblock,no-mbtree,no-weightb,no-psy,no-progress,visualize,dts-compress,encoding_time_feature1_2762_8,encoding_time_feature1_2762_32,encoding_time_feature1_2762_128,encoding_time_feature8_2762_8,encoding_time_feature8_2762_32,encoding_time_feature8_2762_128,encoding_time_feature9_2389_8,encoding_time_feature9_2389_32,encoding_time_feature9_2389_128,encoding_time_feature10_2744_8,encoding_time_feature10_2744_32,encoding_time_feature10_2744_128,encoding_time_azure_2762_8,encoding_time_azure_2762_32,encoding_time_azure_2762_128,encoding_time_amazon_nano_2762_8,encoding_time_amazon_nano_2762_32,encoding_time_amazon_nano_2762_128,encoding_time_amazon_amazon_micro_2762_8,encoding_time_amazon_amazon_micro_2762_32,encoding_time_amazon_amazon_micro_2762_128
1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0.88667,5.2933,16.303,0.39667,2.4133,7.4167,0.35,2.2267,6.96,0.39333,2.4367,7.42,0.62667,4.08,13.037,0.63333,88.547,231.7,0.60333,4.1367,137.74
1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0.8,4.9767,16.197,0.37667,2.2767,7.3633,0.1,0.40333,1.2667,0.09,0.41,1.2733,0.54,3.96,13.14,0.59333,87.503,279.9,0.58,4.0867,127.23
0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0.98667,6.1067,18.723,0.45,2.8267,8.55,0.10333,0.52,1.5733,0.10667,0.54,1.5667,0.70667,4.7567,15.15,0.7,102.86,318.88,0.69,4.83,144.36
0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0.74667,5.5533,16.913,0.31333,2.5467,7.7467,0.3,2.3233,6.96,0.30667,2.5367,7.71,0.48,4.24,13.427,0.46333,92.167,234.59,0.46,4.34,141.39
1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0.91333,5.6433,17.263,0.44667,2.6,7.8667,0.09,0.47,1.3933,0.093333,0.49333,1.4467,0.58,4.2533,13.83,0.63333,94.297,291.88,0.63,4.3967,145.02
0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0.78,4.66,15.323,0.37667,2.1233,6.9133,0.086667,0.36667,1.17,0.086667,0.38667,1.1933,0.58333,3.7833,12.523,0.62667,82.483,265.85,0.57,3.8433,109.65
0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0.99,6.17,18.757,0.46,2.8533,8.57,0.45333,2.7067,8.1633,0.45,2.8267,8.5767,0.70333,4.79,15.153,0.69,104.15,268.63,0.69,4.8633,155.01
0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0.83,5.04,15.61,0.36667,2.3,7.0533,0.31333,2.08,6.46,0.36333,2.2833,7.01,0.5,3.8367,12.327,0.55667,65.96,261.32,0.55,3.88,129.81
0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0.91667,5.7567,17.58,0.43,2.6633,8.0867,0.40333,2.5,7.61,0.41333,2.6667,8.1067,0.65667,4.4367,14.057,0.66,64.147,298.78,0.65,4.5,144.18
0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0.83667,5.3333,17.39,0.39333,2.4267,7.8267,0.086667,0.42,1.35,0.08,0.42667,1.3433,0.57,4.3667,14.18,0.63333,92.71,279,0.61,4.3667,126.95
1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0.99,6.08,18.45,0.47,2.7867,8.43,0.10667,0.50667,1.49,0.1,0.53,1.5367,0.68333,4.68,14.807,0.70333,101.9,283.41,0.67,4.7533,155.3
0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0.65667,4.6733,15.363,0.28667,2.1033,6.9167,0.073333,0.35667,1.1533,0.07,0.37667,1.1767,0.48,3.7667,12.51,0.55,81.157,264.57,0.46,3.8233,131.19
0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0.72,5.0533,15.54,0.32,2.3067,7.1033,0.08,0.42,1.2533,0.086667,0.45,1.31,0.43333,3.8333,12.437,0.55667,83.2,262.18,0.47667,3.93,118.25
0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0.68,4.7,15.333,0.31333,2.1567,6.9433,0.30333,2.0467,6.7767,0.30667,2.1567,6.9533,0.49333,3.8133,12.557,0.49667,82.373,218.45,0.49,3.88,118.82
1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0.87,5.5567,17.907,0.41,2.53,8.13,0.47667,2.5133,8.11,0.39667,2.56,8.1367,0.65333,4.52,14.667,0.66,97.533,309.82,0.65,4.5667,153.78
0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.78333,4.7,15.37,0.36,2.1467,6.9367,0.086667,0.36667,1.1533,0.086667,0.39,1.1967,0.51667,3.81,12.593,0.57,82.68,266.2,0.57,3.9033,132.05
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.65333,4.6533,15.127,0.29333,2.0967,6.8,0.28,1.99,6.4833,0.28,2.08,6.7633,0.44667,3.7633,12.37,0.47333,81.157,225.09,0.45333,3.8333,112.75
0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.84333,6.0633,18.473,0.36,2.7567,8.3733,0.33,2.5767,7.7967,0.35,2.7333,8.3133,0.55,4.6733,14.843,0.55,99.833,296.18,0.54,4.7833,145.61
0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0.64,4.3367,14.33,0.29,1.9933,6.49,0.28,1.8833,6.2967,0.29667,1.9767,6.4967,0.46333,3.4967,11.697,0.51333,50.217,246.98,0.45333,3.5533,122.92
0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0.89333,5.37,16.553,0.38667,2.42,7.46,0.086667,0.43333,1.2967,0.083333,0.46,1.34,0.57667,4.0867,13.207,0.68667,65.083,278.3,0.6,4.1667,138.52
0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0.90667,5.7467,17.63,0.43333,2.6433,8.01,0.096667,0.47667,1.4267,0.086667,0.49,1.4533,0.63333,4.41,14.033,0.66,95.247,246.36,0.63,4.4867,123.37
1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0.78,5.09,16.67,0.35667,2.3167,7.52,0.32667,2.23,7.2933,0.36333,2.32,7.4867,0.52667,4.0467,13.477,0.62,88.627,284.7,0.57333,4.1867,140.54
0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0.95,6.0933,18.567,0.44667,2.7867,8.42,0.41333,2.6,7.93,0.44,2.7533,8.3467,0.67667,4.6667,14.783,0.67333,101.14,312.17,0.66333,4.75,155.06
0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0.70333,5.0533,15.38,0.29333,2.3233,7.1333,0.28667,2.13,6.4433,0.29667,2.33,7.1367,0.49,3.87,12.44,0.45,83.343,208.92,0.44,3.92,125.01
1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.66333,5.01,15.253,0.27333,2.29,7.01,0.26667,2.0467,6.1633,0.27667,2.2833,6.97,0.42333,3.8367,12.147,0.44667,82.583,254.9,0.42,3.8433,105.78
0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0.83333,4.9767,15.5,0.37333,2.27,6.98,0.07,0.4,1.2033,0.08,0.42667,1.2567,0.49,3.7433,12.37,0.56333,82.18,259.88,0.54667,3.8467,129.07
0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0.73333,5.5333,17.527,0.32333,2.4667,7.9033,0.073333,0.44,1.3867,0.073333,0.44333,1.36,0.49,4.3167,14.197,0.51667,95.2,279.23,0.49,4.4567,149.03
1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0.97,6.0433,18.293,0.43667,2.77,8.33,0.11,0.49667,1.4533,0.093333,0.52667,1.5133,0.68333,4.67,14.717,0.71667,85.387,320.2,0.66333,4.76,142.62
1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0.71,5.0533,15.547,0.31,2.3067,7.1233,0.07,0.41,1.22,0.07,0.43667,1.2867,0.40333,3.83,12.343,0.46,55.373,260.32,0.45333,3.8667,115.37
0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0.87667,5.4367,17.763,0.41,2.5033,8.02,0.45667,2.49,8.11,0.42333,2.4767,8.0433,0.65333,4.4133,14.507,0.65333,90.1,297.18,0.65,4.49,152.13
1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0.79667,5.7667,17.553,0.36667,2.6333,8.0767,0.083333,0.48,1.4267,0.086667,0.50667,1.49,0.52,4.44,14.047,0.52,95.713,255.06,0.52333,4.4767,147.33
0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0.63333,4.5967,14.943,0.28,2.07,6.7167,0.28,1.9333,6.3533,0.27333,2.0633,6.6833,0.39,3.6333,12.197,0.46333,80.16,257.14,0.45,3.7533,110.15
0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0.91333,5.6333,17.21,0.41667,2.5667,7.8767,0.39333,2.4067,7.2767,0.42667,2.61,7.87,0.64,4.4,13.817,0.68,93.83,290.77,0.63,4.39,136.81
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0.83667,5.0333,15.623,0.37667,2.2867,7.0467,0.076667,0.41333,1.2267,0.073333,0.43,1.2633,0.57,3.7633,12.417,0.56667,83.2,210.67,0.56,3.9,129.84
0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0.74667,4.3933,14.717,0.35,2.0233,6.6333,0.32,1.92,6.4533,0.35667,2.03,6.6667,0.47667,3.5667,11.943,0.54333,77.497,253.48,0.53,3.6367,125.97
0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.69667,4.7667,15.487,0.32333,2.15,6.9933,0.09,0.38,1.2033,0.09,0.39,1.2033,0.50333,3.82,12.777,0.5,83.007,267.5,0.49667,3.89,113.45
1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0.74,5.3467,16.243,0.31333,2.4367,7.3833,0.29333,2.2133,6.66,0.31,2.4267,7.37,0.49667,4.05,13.08,0.49333,88.743,273.61,0.47667,4.1633,129.62
1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.97,6,18.18,0.44333,2.7533,8.2433,0.42,2.5667,7.7067,0.46,2.77,8.3033,0.64,4.6867,14.577,0.70667,73.207,258.34,0.67333,4.7133,153.42
0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0.80333,4.7967,15.683,0.37,2.1933,7.07,0.35667,2.08,6.84,0.35667,2.2067,7.0967,0.59667,3.8633,12.783,0.58,62.1,271.88,0.58,3.9633,135.96
0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0.69333,4.7267,15.587,0.3,2.13,6.9833,0.28667,2.0067,6.7933,0.3,2.1233,6.9367,0.49,6.2067,12.647,0.48333,88.817,267.19,0.48333,3.85,106.94
0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0.81333,5.9467,17.9,0.36,2.76,8.23,0.34667,2.5267,7.5333,0.35667,2.7433,8.2367,0.46333,5.6467,14.54,0.53333,100.51,260.74,0.51667,4.69,151.3
0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0.76,5.7867,17.453,0.32333,2.6367,8.0167,0.073333,0.47667,1.3833,0.07,0.5,1.4467,0.48667,4.6967,13.883,0.47,95.717,287.2,0.47,4.4967,145.84
1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0.77,5.29,16.127,0.34333,2.4067,7.3767,0.083333,0.43,1.2767,0.08,0.47,1.3633,0.51333,4.1133,12.957,0.50333,88.133,274.32,0.5,4.1267,129.1
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.75,5.4367,17.417,0.34667,2.4267,7.8533,0.32333,2.41,7.82,0.32333,2.4167,7.7967,0.48,4.3533,14.087,0.52,94.443,283.11,0.52,4.4167,129.79
1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0.78,4.7467,15.577,0.34333,2.1467,7,0.31667,1.9933,6.6633,0.34,2.15,6.97,0.54667,3.86,12.647,0.55,83.513,234.04,0.55,3.9,132.96
0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0.86333,6.1033,18.597,0.37667,2.77,8.4233,0.086667,0.50667,1.49,0.08,0.52667,1.5433,0.57667,4.72,14.75,0.55667,101.79,312.03,0.55,4.79,155.02
0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0.86,5.4233,17.473,0.41,2.4933,7.9533,0.10333,0.45,1.4233,0.09,0.45,1.3867,0.60667,4.4233,14.263,0.65,95.953,304.42,0.65,4.4867,131.11
1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0.84333,5.1,15.68,0.37333,2.3433,7.1467,0.33667,2.1733,6.66,0.38,2.3433,7.1433,0.57333,3.9333,12.46,0.57333,67.323,214.57,0.57,3.9567,125.7
1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0.77333,5.3733,16.397,0.35,2.4633,7.57,0.083333,0.45,1.31,0.083333,0.47667,1.3933,0.52333,4.1467,13.15,0.51667,60.033,278.43,0.51,4.19,138.3
0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
