min_child_weight,nthread,n_estimators,max_depth,learning_rate,max_delta_step,subsample,colsample_bytree,lambda,alpha,scale_pos_weight,train_time,test_time,accuracy
0,0,0,0,0,0,0,0,0,0,0,24.61139393,0.72037816,72.22280171
0,0,0,0,0,0,0,0,0,0,1,24.35504508,0.719108582,72.22280171
0,0,0,0,0,0,0,0,0,1,0,24.20413518,0.71869874,72.22280171
0,0,0,0,0,0,0,0,0,1,1,24.14455843,0.723577976,72.22280171
0,0,0,0,0,0,0,0,1,0,0,24.29888582,0.722098589,72.2384479
0,0,0,0,0,0,0,0,1,0,1,24.2323966,0.719895124,72.2384479
0,0,0,0,0,0,0,0,1,1,0,24.1482048,0.724084139,72.19672473
0,0,0,0,0,0,0,0,1,1,1,24.20359874,0.721988678,72.19672473
0,0,0,0,0,0,0,1,0,0,0,38.09230494,0.708398581,72.108063
0,0,0,0,0,0,0,1,0,0,1,38.04860544,0.705196619,72.108063
0,0,0,0,0,0,0,1,0,1,0,38.2963531,0.706548929,72.12370919
0,0,0,0,0,0,0,1,0,1,1,38.42267179,0.704584122,72.12370919
0,0,0,0,0,0,0,1,1,0,0,38.16865611,0.70438695,72.15500156
0,0,0,0,0,0,0,1,1,0,1,38.08656263,0.706749201,72.15500156
0,0,0,0,0,0,0,1,1,1,0,38.37767935,0.703749418,72.10284761
0,0,0,0,0,0,0,1,1,1,1,38.22693849,0.701295614,72.10284761
0,0,0,0,0,0,1,0,0,0,0,18.32221103,0.716538429,72.08198602
0,0,0,0,0,0,1,0,0,0,1,18.45068049,0.712468624,72.08198602
0,0,0,0,0,0,1,0,0,1,0,18.37237692,0.717165947,72.10284761
0,0,0,0,0,0,1,0,0,1,1,18.35703921,0.716483355,72.10284761
0,0,0,0,0,0,1,0,1,0,0,18.44033813,0.717828751,72.06633984
0,0,0,0,0,0,1,0,1,0,1,18.4034667,0.714336872,72.06633984
0,0,0,0,0,0,1,0,1,1,0,18.44686413,0.713478327,72.05590904
0,0,0,0,0,0,1,0,1,1,1,18.48822117,0.717773914,72.05590904
0,0,0,0,0,0,1,1,0,0,0,28.60469913,0.694839716,72.08198602
0,0,0,0,0,0,1,1,0,0,1,28.66962075,0.688323021,72.08198602
0,0,0,0,0,0,1,1,0,1,0,28.84672475,0.689214706,72.09763221
0,0,0,0,0,0,1,1,0,1,1,28.616081,0.691139936,72.09763221
0,0,0,0,0,0,1,1,1,0,0,28.56162453,0.690780878,72.09763221
0,0,0,0,0,0,1,1,1,0,1,28.514956,0.688362122,72.09763221
0,0,0,0,0,0,1,1,1,1,0,28.73111081,0.692430973,72.05590904
0,0,0,0,0,0,1,1,1,1,1,28.83117366,0.68501091,72.05590904
0,0,0,0,0,1,0,0,0,0,0,24.20374966,0.718135834,72.22280171
0,0,0,0,0,1,0,0,0,0,1,24.15042138,0.721182346,72.22280171
0,0,0,0,0,1,0,0,0,1,0,24.45153117,0.721973419,72.22280171
0,0,0,0,0,1,0,0,0,1,1,24.24876356,0.722210169,72.22280171
0,0,0,0,0,1,0,0,1,0,0,24.18649292,0.726886272,72.2384479
0,0,0,0,0,1,0,0,1,0,1,24.44067097,0.723206758,72.2384479
0,0,0,0,0,1,0,0,1,1,0,24.2145083,0.719392776,72.19672473
0,0,0,0,0,1,0,0,1,1,1,24.2466619,0.721137285,72.19672473
0,0,0,0,0,1,0,1,0,0,0,38.29183793,0.70798707,72.108063
0,0,0,0,0,1,0,1,0,0,1,38.24002528,0.705955982,72.108063
0,0,0,0,0,1,0,1,0,1,0,38.4165442,0.707682133,72.12370919
0,0,0,0,0,1,0,1,0,1,1,38.57098961,0.704276323,72.12370919
0,0,0,0,0,1,0,1,1,0,0,38.28016472,0.708946228,72.15500156
0,0,0,0,0,1,0,1,1,0,1,38.30665898,0.708806753,72.15500156
0,0,0,0,0,1,0,1,1,1,0,38.46798396,0.706122875,72.10284761
0,0,0,0,0,1,0,1,1,1,1,38.51388741,0.7049613,72.10284761
0,0,0,0,0,1,1,0,0,0,0,18.43803716,0.715161085,72.08198602
0,0,0,0,0,1,1,0,0,0,1,18.4147079,0.714069366,72.08198602
0,0,0,0,0,1,1,0,0,1,0,18.65852547,0.715785503,72.10284761
0,0,0,0,0,1,1,0,0,1,1,18.46656322,0.715379953,72.10284761
0,0,0,0,0,1,1,0,1,0,0,18.45016503,0.717438221,72.06633984
0,0,0,0,0,1,1,0,1,0,1,18.4996264,0.712526798,72.06633984
0,0,0,0,0,1,1,0,1,1,0,18.5222497,0.713131428,72.05590904
0,0,0,0,0,1,1,0,1,1,1,18.47335243,0.711858988,72.05590904
0,0,0,0,0,1,1,1,0,0,0,28.80385303,0.690358877,72.08198602
0,0,0,0,0,1,1,1,0,0,1,28.74439621,0.690476179,72.08198602
0,0,0,0,0,1,1,1,0,1,0,28.83902884,0.689462662,72.09763221
0,0,0,0,0,1,1,1,0,1,1,28.90206861,0.687627316,72.09763221
0,0,0,0,0,1,1,1,1,0,0,28.70524979,0.687934637,72.09763221
0,0,0,0,0,1,1,1,1,0,1,28.67752147,0.688682079,72.09763221
0,0,0,0,0,1,1,1,1,1,0,28.89037156,0.691363335,72.05590904
0,0,0,0,0,1,1,1,1,1,1,28.95862532,0.691483021,72.05590904
0,0,0,0,1,0,0,0,0,0,0,24.08254766,0.692504644,63.9407531
0,0,0,0,1,0,0,0,0,0,1,24.03008413,0.688738346,63.9407531
0,0,0,0,1,0,0,0,0,1,0,24.21928477,0.686683178,63.9459685
0,0,0,0,1,0,0,0,0,1,1,24.0504725,0.690117836,63.9459685
0,0,0,0,1,0,0,0,1,0,0,24.14514184,0.684472561,63.95118389
0,0,0,0,1,0,0,0,1,0,1,24.18397069,0.68484211,63.95118389
0,0,0,0,1,0,0,0,1,1,0,24.16192222,0.687630177,63.95118389
0,0,0,0,1,0,0,0,1,1,1,24.13924503,0.687579155,63.95118389
0,0,0,0,1,0,0,1,0,0,0,38.26302648,0.518811941,63.45572129
0,0,0,0,1,0,0,1,0,0,1,38.15378284,0.522258043,63.45572129
0,0,0,0,1,0,0,1,0,1,0,38.15639424,0.522482634,63.45572129
0,0,0,0,1,0,0,1,0,1,1,38.28804231,0.517934084,63.45572129
0,0,0,0,1,0,0,1,1,0,0,38.08411908,0.51668191,63.45572129
0,0,0,0,1,0,0,1,1,0,1,38.16601396,0.522920609,63.45572129
0,0,0,0,1,0,0,1,1,1,0,38.27975821,0.521687508,63.45572129
0,0,0,0,1,0,0,1,1,1,1,38.34422946,0.516310692,63.45572129
0,0,0,0,1,0,1,0,0,0,0,18.312994,0.679182768,65.33847919
0,0,0,0,1,0,1,0,0,0,1,18.37931347,0.67765975,65.33847919
0,0,0,0,1,0,1,0,0,1,0,18.40490866,0.674778223,65.33847919
0,0,0,0,1,0,1,0,0,1,1,18.35763311,0.679399967,65.33847919
0,0,0,0,1,0,1,0,1,0,0,18.29760766,0.676231146,65.33847919
0,0,0,0,1,0,1,0,1,0,1,18.39048982,0.681376934,65.33847919
0,0,0,0,1,0,1,0,1,1,0,18.25812697,0.678127289,65.33847919
0,0,0,0,1,0,1,0,1,1,1,18.37405539,0.679976702,65.33847919
0,0,0,0,1,0,1,1,0,0,0,28.55172539,0.496661186,63.1897361
0,0,0,0,1,0,1,1,0,0,1,28.62446976,0.498413324,63.1897361
0,0,0,0,1,0,1,1,0,1,0,28.7372365,0.492552757,63.1897361
0,0,0,0,1,0,1,1,0,1,1,28.53003001,0.497285128,63.1897361
0,0,0,0,1,0,1,1,1,0,0,28.59141278,0.499523878,63.1897361
0,0,0,0,1,0,1,1,1,0,1,28.66599488,0.495650768,63.1897361
0,0,0,0,1,0,1,1,1,1,0,28.59484673,0.492373943,63.1897361
0,0,0,0,1,0,1,1,1,1,1,28.49719501,0.498441935,63.1897361
0,0,0,0,1,1,0,0,0,0,0,24.20507932,0.683790445,63.9407531
0,0,0,0,1,1,0,0,0,0,1,24.10776734,0.688415527,63.9407531
0,0,0,0,1,1,0,0,0,1,0,24.12804651,0.687285662,63.9459685
0,0,0,0,1,1,0,0,0,1,1,24.23292851,0.688330173,63.9459685
0,0,0,0,1,1,0,0,1,0,0,24.11538529,0.693292141,63.95118389
0,0,0,0,1,1,0,0,1,0,1,24.11987376,0.685790062,63.95118389
0,0,0,0,1,1,0,0,1,1,0,24.3432982,0.691297293,63.95118389
