train_time,test_time,accuracy
0.027022839,0.000937939,70.86614173
0.026236057,0.000885487,79.13385827
0.026562691,0.000836372,67.32283465
0.027428389,0.00096035,78.34645669
0.027351856,0.000946045,68.50393701
0.026296377,0.000937462,79.13385827
0.026979208,0.000879526,66.92913386
0.027011156,0.000930548,78.74015748
0.031313181,0.000915051,70.86614173
0.031193495,0.000984192,77.16535433
0.031576157,0.000930548,69.68503937
0.033436775,0.000943184,78.34645669
0.031114101,0.000863075,70.47244094
0.031988144,0.000987291,77.95275591
0.032740116,0.000924826,68.50393701
0.033073902,0.000936747,77.16535433
0.022268534,0.000891685,70.07874016
0.022702217,0.000888348,78.34645669
0.023294926,0.000870943,66.92913386
0.02402401,0.000939846,78.34645669
0.022417784,0.000897884,68.11023622
0.022729635,0.000909567,78.34645669
0.023394108,0.000865459,66.92913386
0.022906303,0.000912905,78.34645669
0.027038574,0.000925064,70.07874016
0.02706027,0.000929832,78.74015748
0.02731514,0.000882864,67.32283465
0.027642965,0.000969887,77.95275591
0.027176142,0.000924587,68.11023622
0.027077436,0.00091362,78.74015748
0.027573824,0.000846624,67.32283465
0.028297424,0.000894547,78.34645669
0.026329517,0.000905752,70.86614173
0.026544809,0.00096035,79.13385827
0.027033567,0.000916004,67.32283465
0.027692795,0.000943661,78.34645669
0.026502848,0.00083828,68.50393701
0.027365208,0.001006365,79.13385827
0.026976347,0.000867367,66.92913386
0.027685165,0.001002789,78.74015748
0.032736301,0.000944853,70.86614173
0.031858444,0.00101161,77.16535433
0.032479525,0.000903606,69.68503937
0.034264803,0.000942469,78.34645669
0.031802654,0.000930548,70.47244094
0.032310724,0.000944376,77.95275591
0.033304214,0.00084877,68.50393701
0.033856392,0.000944138,77.16535433
0.023538113,0.000878572,70.07874016
0.022827387,0.000891924,78.34645669
0.023769855,0.000827312,66.92913386
0.024590731,0.000925541,78.34645669
0.022760391,0.000889063,68.11023622
0.023215294,0.000927687,78.34645669
0.024007082,0.000898361,66.92913386
0.024537325,0.000926971,78.34645669
0.027854919,0.000890732,70.07874016
0.028891802,0.000916958,78.74015748
0.029547691,0.00086832,67.32283465
0.030347824,0.00094676,77.95275591
0.027992249,0.000939846,68.11023622
0.028564215,0.000912428,78.74015748
0.029322863,0.000874996,67.32283465
0.029706478,0.00096035,78.34645669
0.026232481,0.000833511,66.92913386
0.026507854,0.000879526,75.19685039
0.025500774,0.000606298,66.92913386
0.026749372,0.000874758,75.19685039
0.025771618,0.000592232,66.92913386
0.027050257,0.000823975,75.19685039
0.024981022,0.000547647,66.92913386
0.0277493,0.00094533,74.80314961
0.031450272,0.000646114,66.92913386
0.03148818,0.000766516,74.01574803
0.031104803,0.000707865,66.92913386
0.032645464,0.000729799,74.01574803
0.030970573,0.00065279,66.92913386
0.034626484,0.000695229,74.01574803
0.031750441,0.00069046,66.92913386
0.032062054,0.000709057,74.01574803
0.022387743,0.000765562,66.92913386
0.023115635,0.000785828,74.80314961
0.021548033,0.000586748,66.92913386
0.022847652,0.000866413,74.80314961
0.021214247,0.000569582,66.92913386
0.02283144,0.000839472,74.80314961
0.021498442,0.00060463,66.92913386
0.022897959,0.000882387,74.80314961
0.026465416,0.000653982,66.92913386
0.02681303,0.000648022,74.01574803
0.026218414,0.000636339,66.92913386
0.027217865,0.000649691,74.01574803
0.026702404,0.000640869,66.92913386
0.027471542,0.000650883,74.01574803
0.026734829,0.000625372,66.92913386
0.027905941,0.000714064,74.01574803
0.02740097,0.000856161,66.92913386
0.027390718,0.000806332,75.19685039
0.02614212,0.000605106,66.92913386
0.027404785,0.000850916,75.19685039
0.026150942,0.000584841,66.92913386
0.027043581,0.000857592,75.19685039
0.025662661,0.000596762,66.92913386
0.027791023,0.00082469,74.80314961
0.032376289,0.00066328,66.92913386
0.032730341,0.00070262,74.01574803
0.03273654,0.000641823,66.92913386
0.033569098,0.000739574,74.01574803
0.031806231,0.000697136,66.92913386
0.033601999,0.000701666,74.01574803
0.03276515,0.000713825,66.92913386
0.034120321,0.000700712,74.01574803
0.02438736,0.000765085,66.92913386
0.023798466,0.000781298,74.80314961
0.023107767,0.000560045,66.92913386
0.025969744,0.000836372,74.80314961
0.022730589,0.000594616,66.92913386
0.023663044,0.000846863,74.80314961
0.022662163,0.000568628,66.92913386
0.024241686,0.000848055,74.80314961
0.028460979,0.000591755,66.92913386
0.02805233,0.000614405,74.01574803
0.02809763,0.000619173,66.92913386
0.029121637,0.000635386,74.01574803
0.028194666,0.00064373,66.92913386
0.028000116,0.000634432,74.01574803
0.028667212,0.000615597,66.92913386
0.02995038,0.000663519,74.01574803
0.053700209,0.002457619,75.59055118
0.063539267,0.003061533,76.77165354
0.042633533,0.001695156,69.29133858
0.066810608,0.003123522,77.16535433
0.048593044,0.002028942,73.22834646
0.06374836,0.003115416,78.34645669
0.042962313,0.001661539,68.50393701
0.067095041,0.003158569,77.16535433
0.071462154,0.002274752,74.80314961
0.088209391,0.00316,79.13385827
0.061657667,0.001852751,72.44094488
0.093866348,0.003181219,79.13385827
0.0658741,0.002087831,72.83464567
0.090429306,0.003232956,79.13385827
0.06145072,0.001794577,70.47244094
0.096353292,0.003136396,77.55905512
0.056969643,0.002983332,73.62204724
0.05954051,0.00316143,77.95275591
0.039528608,0.001461267,70.07874016
0.067562103,0.003219843,77.95275591
0.054726839,0.002733707,74.80314961
0.059344769,0.003081799,78.34645669
0.043869734,0.001726866,69.68503937
0.067922831,0.003200531,79.13385827
0.081700802,0.002852201,74.80314961
0.085736275,0.003154993,77.55905512
0.056459427,0.001559496,72.04724409
0.08137989,0.002451658,78.34645669
0.078999043,0.00265646,74.80314961
0.085540295,0.003091812,78.74015748
0.062196493,0.001675844,71.25984252
0.10168004,0.003103971,78.34645669
0.053533077,0.002356768,75.59055118
0.064939976,0.003133297,76.77165354
0.044406414,0.001760483,69.29133858
0.069865704,0.003096581,77.16535433
0.048950434,0.002015352,73.22834646
0.065743208,0.00316143,78.34645669
0.043941736,0.0016675,68.50393701
0.069019794,0.003236771,77.16535433
0.072787762,0.002479792,74.80314961
0.092181921,0.003176689,79.13385827
0.063337803,0.001784086,72.44094488
0.100930691,0.003169775,79.13385827
0.06852746,0.002027273,72.83464567
0.092966557,0.003161907,79.13385827
0.064414263,0.001806259,70.47244094
0.102353334,0.003133297,77.55905512
0.059149265,0.002924442,73.62204724
0.063727379,0.003267288,77.95275591
0.041249275,0.001407623,70.07874016
0.072746515,0.003384113,77.95275591
0.058012724,0.002765894,74.80314961
0.064830065,0.003191233,78.34645669
0.046332836,0.00181222,69.68503937
0.073904753,0.003153086,79.13385827
0.086194754,0.002921581,74.80314961
0.092447758,0.003093481,77.55905512
0.060551643,0.001558542,72.04724409
0.091485262,0.002416372,78.34645669
0.083312988,0.002739191,74.80314961
0.093698025,0.003079176,78.74015748
0.066941977,0.001707077,71.25984252
0.116414547,0.003177404,78.34645669
0.06697607,0.003104687,66.92913386
0.068448305,0.003190994,79.92125984
0.028470755,0.000567436,66.92913386
0.068505526,0.003053665,78.74015748
0.029101372,0.00058341,66.92913386
0.065824032,0.00305295,78.74015748
0.028641462,0.000596762,66.92913386
0.066823959,0.002910137,78.34645669
0.0903368,0.002557039,66.92913386
0.097691298,0.002958536,78.74015748
0.043233156,0.000749111,66.92913386
0.09804678,0.002876043,79.52755906
0.044079781,0.000738621,66.92913386
0.093782187,0.00285244,78.34645669
0.042497635,0.000672817,66.92913386
0.097014666,0.002907276,78.74015748
0.064595461,0.002929688,66.92913386
0.065411091,0.003104925,76.37795276
0.026101828,0.000582218,66.92913386
0.069291592,0.003076792,77.55905512
0.027677298,0.000633955,66.92913386
0.06492281,0.003023863,77.16535433
0.026022434,0.000561237,66.92913386
0.073613405,0.002966642,77.55905512
0.091774225,0.001853228,71.25984252
0.095990658,0.001801729,68.8976378
0.042327642,0.00071907,66.92913386
0.099874735,0.001636505,67.71653543
0.045260429,0.000754833,71.25984252
0.092979193,0.001722574,69.29133858
0.042297125,0.000678301,66.92913386
0.099244118,0.001639605,66.53543307
0.067636967,0.002994061,66.92913386
0.07112956,0.003198862,79.92125984
0.030099154,0.00052619,66.92913386
0.07117033,0.003010511,78.74015748
0.03003335,0.000614405,66.92913386
0.068492889,0.003055096,78.74015748
0.029085159,0.000582695,66.92913386
0.069939613,0.002936125,78.34645669
0.098084927,0.002537966,66.92913386
0.101345778,0.002921104,78.74015748
0.045158863,0.000717163,66.92913386
0.103158712,0.002789259,79.52755906
0.044709682,0.000735521,66.92913386
0.097560644,0.002947092,78.34645669
0.04350543,0.000717163,66.92913386
0.102309465,0.002734661,78.74015748
0.068189859,0.003000498,66.92913386
0.071430683,0.003044128,76.37795276
0.027654648,0.000567913,66.92913386
0.074614525,0.002993345,77.55905512
0.029295921,0.000674963,66.92913386
0.070180416,0.003085852,77.16535433
0.027786255,0.000558615,66.92913386
0.074141979,0.002999306,77.55905512
0.100334406,0.001837254,71.25984252
0.103189707,0.001786709,68.8976378
0.044950485,0.000682354,66.92913386
0.110484362,0.001727819,67.71653543
0.048582792,0.00077033,71.25984252
0.099921465,0.001769066,69.29133858
0.045312405,0.000692844,66.92913386
0.108824968,0.001639605,66.53543307
0.013712406,0.00052619,68.50393701
0.013798475,0.000589371,78.34645669
0.013755322,0.00050354,66.92913386
0.014251709,0.000551224,78.34645669
0.013688803,0.000490665,67.32283465
0.013671637,0.000524521,79.13385827
0.014133215,0.000536442,66.92913386
0.014019728,0.000572205,78.74015748
0.0163064,0.000556707,70.86614173
0.016330004,0.000569105,77.55905512
0.016519308,0.000542879,66.92913386
0.016830444,0.00054121,77.95275591
0.016764164,0.000526905,70.86614173
0.016343355,0.000541925,77.95275591
0.016581297,0.000490427,66.92913386
0.016740322,0.000540018,78.34645669
0.011826038,0.000502825,67.32283465
0.011891603,0.000545979,79.92125984
0.011820793,0.000486851,66.92913386
0.012344122,0.000543594,79.13385827
0.012039185,0.000593424,67.32283465
0.012138844,0.000544786,79.13385827
0.012196541,0.000524282,66.92913386
0.011952877,0.000547409,79.52755906
0.013818026,0.000588894,67.32283465
0.013975859,0.000575542,78.74015748
0.014731884,0.000529528,66.92913386
0.01449585,0.000560045,78.34645669
0.013921738,0.000522614,67.32283465
0.013972282,0.000533104,77.95275591
0.014638901,0.000467777,66.92913386
