train_time,test_time,accuracy
0.008918524,0.000309229,73.07692308
0.009181499,0.000352144,73.07692308
0.008635759,0.000289917,73.07692308
0.00920105,0.000324011,73.07692308
0.008332729,0.000268698,73.07692308
0.009281397,0.000340223,76.92307692
0.008343697,0.000272751,73.07692308
0.009223938,0.000267267,80.76923077
0.008866787,0.000241995,73.07692308
0.009663582,0.000282764,73.07692308
0.008821964,0.000286102,73.07692308
0.00984478,0.000337839,76.92307692
0.008798599,0.000222683,73.07692308
0.009629011,0.00028944,76.92307692
0.008821011,0.000225782,73.07692308
0.009819984,0.000263929,84.61538462
0.007963657,0.000231981,73.07692308
0.008618116,0.000262737,73.07692308
0.008156538,0.000233889,73.07692308
0.008710146,0.00026679,84.61538462
0.007985353,0.000230074,73.07692308
0.008593798,0.000280142,73.07692308
0.008296013,0.000248432,73.07692308
0.008753061,0.000264406,84.61538462
0.008278847,0.000253677,73.07692308
0.009212732,0.000290871,73.07692308
0.008528709,0.000297546,73.07692308
0.009327888,0.000337839,84.61538462
0.00838542,0.000268698,73.07692308
0.009185076,0.000285149,73.07692308
0.008733273,0.000243664,73.07692308
0.00929904,0.000275135,84.61538462
0.008320332,0.00025773,73.07692308
0.009084225,0.000266075,73.07692308
0.008277655,0.000224352,73.07692308
0.009335041,0.000290155,73.07692308
0.008304119,0.0002141,73.07692308
0.009052515,0.00026536,76.92307692
0.008197784,0.000254154,73.07692308
0.009342194,0.000290155,80.76923077
0.008934259,0.000287294,73.07692308
0.009720087,0.000293016,73.07692308
0.008836985,0.000297308,73.07692308
0.010029316,0.000319004,76.92307692
0.008855581,0.000250816,73.07692308
0.009746313,0.000291348,76.92307692
0.008860111,0.000230312,73.07692308
0.010041714,0.000269175,84.61538462
0.007916212,0.000225782,73.07692308
0.008722305,0.000262976,73.07692308
0.008203745,0.000256777,73.07692308
0.008890629,0.000262499,84.61538462
0.007952452,0.000262976,73.07692308
0.00874567,0.000263691,73.07692308
0.00835681,0.000239849,73.07692308
0.008804083,0.000291586,84.61538462
0.008225679,0.00021863,73.07692308
0.00945282,0.000289679,73.07692308
0.008585453,0.000271082,73.07692308
0.009544849,0.000269175,84.61538462
0.008314848,0.000221968,73.07692308
0.009475231,0.000275135,73.07692308
0.008859396,0.000237226,73.07692308
0.009680033,0.000273228,84.61538462
0.008949041,0.000262022,73.07692308
0.009004354,0.000262737,73.07692308
0.008369207,0.000216961,73.07692308
0.009073019,0.000270605,76.92307692
0.008949518,0.00024128,73.07692308
0.009360075,0.000260592,73.07692308
0.008428812,0.000234365,73.07692308
0.009214878,0.000262976,76.92307692
0.009840488,0.000260592,73.07692308
0.009883881,0.000253201,76.92307692
0.009071827,0.000228643,73.07692308
0.010114431,0.000295639,76.92307692
0.009300947,0.000271082,73.07692308
0.009693146,0.000258684,76.92307692
0.008928776,0.000229836,73.07692308
0.009899855,0.000299215,76.92307692
0.008664846,0.000285864,73.07692308
0.008630514,0.000313997,84.61538462
0.008128881,0.000277519,73.07692308
0.008739233,0.000277996,84.61538462
0.008078814,0.000259638,73.07692308
0.008616209,0.000269413,84.61538462
0.008102417,0.00026536,73.07692308
0.00861311,0.000249863,84.61538462
0.009044647,0.000233173,73.07692308
0.009206772,0.00024581,84.61538462
0.008476734,0.000211477,73.07692308
0.009082317,0.000237942,84.61538462
0.008505106,0.000237465,73.07692308
0.009269714,0.000271559,84.61538462
0.008510828,0.000256777,73.07692308
0.00919795,0.000299692,84.61538462
0.009107113,0.000312328,73.07692308
0.009191513,0.00030756,73.07692308
0.008433819,0.000228882,73.07692308
0.00941205,0.0003016,76.92307692
0.008456469,0.000218391,73.07692308
0.009067059,0.000274181,73.07692308
0.008449316,0.000217676,73.07692308
0.009263039,0.000270605,76.92307692
0.009876013,0.000260353,73.07692308
0.009731293,0.000302315,76.92307692
0.009040117,0.000212193,73.07692308
0.010084391,0.000247717,76.92307692
0.008986473,0.000218153,73.07692308
0.009878874,0.000252962,76.92307692
0.009034872,0.000214815,73.07692308
0.010038137,0.000291348,76.92307692
0.008792877,0.000249863,73.07692308
0.008751154,0.000246763,84.61538462
0.008435726,0.000303984,73.07692308
