spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,solving_time_feature1_2_7_10286,solving_time_feature8_2_7_10286,solving_time_feature9_1_2_10286,solving_time_feature10_1_2_8287,solving_time_feature11_2_7_4435,solving_time_feature12_2_7_4435,solving_time_amazon_micro_2_7_10286,solving_time_azure_2_7_10286,solving_time_amazon_nano_2_7_10286,solving_time_feature20_2_7_10286
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.07,0.03,0.07,0.26,0.14,0.04,0.03,0.025,0.025,0
1,1,1,0,0,1,0,0,0,0,0,0,0,0,5,5.01,5,5,5,5,5,5,1.71,5.01
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.035,0.015,0.02,0.145,0.195,0.095,0.015,0.015,0.02,0.02
1,0,0,1,0,1,0,0,0,0,0,0,0,0,5.005,5,5,5,5,5,5,5,2.84,5.005
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.08,0.04,0.07,0.26,0.075,0.04,0.03,0.03,0.04,0
1,1,0,1,0,1,0,0,0,0,0,0,0,0,5,5,5,5,5.005,5,5.005,5,2.19,5
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.04,0.015,0.02,0.14,0.2,0.1,0.01,0.01,0.01,0.02
1,0,1,1,0,1,0,0,0,0,0,0,0,0,5,5,5,5,5,5.005,5.005,5,2.81,5.01
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.075,0.03,0.07,0.255,0.07,0.04,0.03,0.03,0.035,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,5.01,5,5,5,5,5,5,5.005,2.225,5.01
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.14,0.155,0.235,0.02,0.01,0.01,0.02
1,0,0,0,1,1,0,0,0,0,0,0,0,0,5.005,5.01,5,5,5,5,5,5,5,5.01
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.1,0.045,0.07,0.255,0.06,0.04,0.04,0.05,0.04,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,5.01,5.005,5,5,5,5.005,5,5,5,5.01
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.035,0.015,0.02,0.135,0.155,0.23,0.015,0.02,0.01,0.02
1,0,1,0,1,1,0,0,0,0,0,0,0,0,5.005,5.01,5,5,5.01,5,5,5.005,5,5.01
0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.095,0.045,0.07,0.26,0.06,0.04,0.04,0.04,0.04,0
1,1,1,0,1,1,0,0,0,0,0,0,0,0,5.005,5.005,5,5,5,5,5,5,5,5.01
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.035,0.02,0.02,0.135,0.155,0.24,0.01,0.02,0.02,0.02
1,0,0,1,1,1,0,0,0,0,0,0,0,0,5.005,5.01,5,5,5.01,5,5,5.005,5,5.01
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.105,0.04,0.07,0.255,0.06,0.04,0.04,0.04,0.04,0
1,1,0,1,1,1,0,0,0,0,0,0,0,0,5,5.01,5,5,5.005,5,5,5,5,5.01
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.035,0.02,0.02,0.145,0.155,0.22,0.01,0.02,0.01,0.015
1,0,1,1,1,1,0,0,0,0,0,0,0,0,5,5.005,5,5,5,5,5,5.005,5,5.01
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.105,0.045,0.075,0.255,0.055,0.04,0.04,0.04,0.04,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,5.01,5.005,5,5,5.005,5,5,5.005,5,5.01
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.04,0.02,0.06,0.125,0.615,0.11,0.02,0.015,0.015,0.015
1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,5,5,5.005,5.005,5,5,5,5
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.06,0.03,0.015,0.975,0.545,0.08,0.02,0.02,0.025,0.03
1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.01,4.18,5,5,5.01,1.33,3.835,3.965,5,5.01
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.03,0.01,0.065,0.155,0.5,0.195,0.01,0.01,0.01,0.02
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.535,0.23,5,5,0.32,5.01,0.24,0.235,0.215,1.085
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.1,0.04,0.02,1.135,0.035,0.24,0.04,0.05,0.04,0.035
1,1,1,0,0,0,1,0,0,0,0,0,0,0,5.01,5.01,5,5.005,0.225,5.01,5.01,5.01,5,5.005
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.025,0.01,0.065,0.125,0.015,0.07,0.01,0.01,0.01,0.015
1,0,0,1,0,0,1,0,0,0,0,0,0,0,5.04,5.02,5,5,5.02,5.02,5.02,5.02,5,5.01
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.03,0.01,0.02,1.09,0.07,0.035,0.01,0.01,0.015,0.065
1,1,0,1,0,0,1,0,0,0,0,0,0,0,5.025,5.04,5,5,5.02,5.02,5.045,5.04,5,5.01
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.04,0.015,0.07,0.13,0.07,0.05,0.02,0.015,0.015,0.015
1,0,1,1,0,0,1,0,0,0,0,0,0,0,5.025,5.02,5,5,5.02,5.03,5.02,5.025,4.465,2.725
0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.02,0.01,0.02,0.985,0.075,0.01,0.005,0.005,0.005,0.135
1,1,1,1,0,0,1,0,0,0,0,0,0,0,5.03,5.02,5,5,5.02,5.03,5.02,5.02,2.92,4.185
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.11,0.05,0.04,0.1,0.035,0.04,0.045,0.05,0.04,0.015
1,0,0,0,1,0,1,0,0,0,0,0,0,0,5.01,5.01,5,5.005,5.02,5.02,5.01,5.01,1.795,5.01
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.12,0.05,0.035,0.585,0.16,0.055,0.055,0.055,0.06,0.035
1,1,0,0,1,0,1,0,0,0,0,0,0,0,5.01,5.01,5,5,5.02,5.02,5.01,5.01,5,5
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.035,0.01,0.04,0.085,0.18,0.01,0.015,0.015,0.015,0.01
1,0,1,0,1,0,1,0,0,0,0,0,0,0,5.01,5.01,5,5,5.02,5.02,5.01,5.01,5,5.005
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.11,0.05,0.035,0.495,0.02,0.08,0.045,0.05,0.05,0.03
1,1,1,0,1,0,1,0,0,0,0,0,0,0,5.01,5.01,5,5,5.02,5.02,5.01,5.01,5,5.01
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.02,0,0.04,0.085,0.065,0.11,0,0,0,0.01
1,0,0,1,1,0,1,0,0,0,0,0,0,0,5.01,4.86,5,5,4.225,5.02,4.48,4.65,1.165,5
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0.02,0.01,0.035,0.505,0.315,0.07,0.01,0.01,0.01,0.04
1,1,0,1,1,0,1,0,0,0,0,0,0,0,3.545,1.525,5,5,5.02,5.02,1.425,1.45,1.33,3.465
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.02,0,0.04,0.08,0.055,0.06,0,0,0,0.015
1,0,1,1,1,0,1,0,0,0,0,0,0,0,5.01,5.01,5,5,5.02,5.02,5.01,5.01,5,0.59
0,1,1,1,1,0,1,0,0,0,0,0,0,0,0.06,0.02,0.035,0.51,0.05,0.085,0.025,0.025,0.025,0.045
1,1,1,1,1,0,1,0,0,0,0,0,0,0,5.02,5.01,5,5,2.89,5.02,5.01,5.01,4.96,5
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.04,0.02,0.02,0.145,0.085,0.08,0.015,0.02,0.015,0.02
1,0,0,0,0,1,1,0,0,0,0,0,0,0,5.005,5,5,5,5.01,5.005,5.01,5.01,5,5.005
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.08,0.04,0.07,0.25,0.205,0.325,0.04,0.04,0.04,0.04
1,1,0,0,0,1,1,0,0,0,0,0,0,0,5.005,5.01,5,5,5.01,5.01,5.01,5.005,5,4.875
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.04,0.02,0.02,0.14,0.095,0.21,0.01,0.015,0.015,0.02
1,0,1,0,0,1,1,0,0,0,0,0,0,0,5.01,5.005,5,5,5.01,5.01,5.01,5.01,5,5.005
0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.085,0.04,0.065,0.26,0.13,0.075,0.04,0.04,0.04,0.045
1,1,1,0,0,1,1,0,0,0,0,0,0,0,5,5.005,5,5,5.01,5.005,5.01,5.01,5,5.005
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.04,0.02,0.02,0.14,0.045,0.06,0.015,0.02,0.015,0.02
1,0,0,1,0,1,1,0,0,0,0,0,0,0,5.01,5.005,5,5,5.01,5.01,5.01,5.01,5,5
0,1,0,1,0,1,1,0,0,0,0,0,0,0,0.065,0.03,0.065,0.255,0.08,0.155,0.025,0.02,0.025,0.04
1,1,0,1,0,1,1,0,0,0,0,0,0,0,5.01,5,5,5,5.005,5.01,5.01,5.005,5,2.87
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.04,0.015,0.02,0.14,0.125,0.1,0.01,0.005,0.02,0.02
1,0,1,1,0,1,1,0,0,0,0,0,0,0,5,5.01,5,5,5,5.01,5.01,5.005,2.9,5.005
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.065,0.03,0.07,0.245,0.095,0.12,0.03,0.03,0.025,0.04
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.925,0.39,5,5,5.005,5.01,0.395,0.385,0.385,5
