spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,solving_time_feature1_2_7_10286,solving_time_feature8_2_7_10286,solving_time_feature9_1_2_10286,solving_time_feature10_1_2_8287,solving_time_feature11_2_7_4435,solving_time_feature12_2_7_4435,solving_time_amazon_micro_2_7_10286,solving_time_azure_2_7_10286,solving_time_amazon_nano_2_7_10286,solving_time_feature20_2_7_10286
1,1,1,0,1,1,0,1,1,1,1,1,0,0,5.005,5.01,5,5,5,5,5.025,5,5.01,5.02
0,0,0,1,1,1,0,1,1,1,1,1,0,0,0.035,0.02,0.02,0.14,0.15,0.23,0.19,0.01,0.34,0.1
1,0,0,1,1,1,0,1,1,1,1,1,0,0,5,5.01,5,5,5.01,5,5.015,5,5.035,5.02
0,1,0,1,1,1,0,1,1,1,1,1,0,0,0.095,0.05,0.07,0.245,0.06,0.04,0.48,0.04,1.045,0
1,1,0,1,1,1,0,1,1,1,1,1,0,0,5.005,5.01,5,5,5,5,5.005,5,5.06,5.02
0,0,1,1,1,1,0,1,1,1,1,1,0,0,0.04,0.02,0.02,0.15,0.16,0.24,0.2,0.01,0.42,0.095
1,0,1,1,1,1,0,1,1,1,1,1,0,0,5,5.01,5,5,5.005,5,5,5,5.01,5.02
0,1,1,1,1,1,0,1,1,1,1,1,0,0,0.1,0.045,0.07,0.26,0.06,0.04,0.505,0.035,1.02,0.005
1,1,1,1,1,1,0,1,1,1,1,1,0,0,5.01,5.005,5,5,5,5,5.02,5,5.025,5.02
0,0,0,0,0,0,1,1,1,1,1,1,0,0,0.04,0.02,0.06,0.115,0.62,0.11,0.19,0.01,0.39,0.1
1,0,0,0,0,0,1,1,1,1,1,1,0,0,5,5.01,5,5,5.005,5.005,5,5,5.025,5.02
0,1,0,0,0,0,1,1,1,1,1,1,0,0,0.055,0.025,0.01,0.98,0.545,0.08,0.32,0.02,0.65,0.065
1,1,0,0,0,0,1,1,1,1,1,1,0,0,5.01,4.16,5,5,5.01,1.35,5.025,3.765,5.065,5.02
0,0,1,0,0,0,1,1,1,1,1,1,0,0,0.03,0.01,0.07,0.12,0.49,0.185,0.18,0.01,0.34,0.09
1,0,1,0,0,0,1,1,1,1,1,1,0,0,0.525,0.235,5,5,0.31,5.015,2.56,0.23,4.735,5.015
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.095,0.04,0.015,0.985,0.04,0.24,0.49,0.04,0.89,0.07
1,1,1,0,0,0,1,1,1,1,1,1,0,0,5.01,5.01,5,5,0.235,5.01,5.015,5.01,5.025,5.015
0,0,0,1,0,0,1,1,1,1,1,1,0,0,0.025,0.01,0.065,0.12,0.02,0.07,0.165,0.01,0.36,0.09
1,0,0,1,0,0,1,1,1,1,1,1,0,0,5.03,5.02,5,5,5.02,5.02,5.03,5.02,5.05,5.02
0,1,0,1,0,0,1,1,1,1,1,1,0,0,0.03,0.01,0.015,0.985,0.075,0.03,0.18,0.01,0.295,0.06
1,1,0,1,0,0,1,1,1,1,1,1,0,0,5.025,5.04,5,5,5.02,5.02,5.015,5.04,5.075,5.02
0,0,1,1,0,0,1,1,1,1,1,1,0,0,0.035,0.015,0.065,0.125,0.07,0.045,0.22,0.01,0.465,0.09
1,0,1,1,0,0,1,1,1,1,1,1,0,0,5.03,5.02,5,5,5.015,5.03,5.04,5.02,5.04,5.02
0,1,1,1,0,0,1,1,1,1,1,1,0,0,0.02,0.005,0.02,0.98,0.07,0.01,0.115,0.01,0.235,0.065
1,1,1,1,0,0,1,1,1,1,1,1,0,0,5.025,5.02,5,5,5.02,5.03,5.035,5.02,5.03,5.02
0,0,0,0,1,0,1,1,1,1,1,1,0,0,0.105,0.05,0.045,0.085,0.04,0.04,0.545,0.045,1.205,0.105
1,0,0,0,1,0,1,1,1,1,1,1,0,0,5.01,5.01,5,5,5.02,5.02,5.025,5.01,5.035,5.015
0,1,0,0,1,0,1,1,1,1,1,1,0,0,0.125,0.06,0.04,0.495,0.16,0.05,0.595,0.05,1.25,0.125
1,1,0,0,1,0,1,1,1,1,1,1,0,0,5.01,5.01,5,5,5.02,5.02,5.02,5.01,5.045,5.02
0,0,1,0,1,0,1,1,1,1,1,1,0,0,0.04,0.02,0.04,0.08,0.185,0.01,0.24,0.02,0.425,0.11
1,0,1,0,1,0,1,1,1,1,1,1,0,0,5.01,5.01,5,5,5.02,5.02,5.05,5.01,5.065,5.02
0,1,1,0,1,0,1,1,1,1,1,1,0,0,0.11,0.045,0.03,0.495,0.02,0.08,0.555,0.045,1.15,0.13
1,1,1,0,1,0,1,1,1,1,1,1,0,0,5.01,5.01,5,5,5.015,5.02,5.015,5.01,5.015,5.02
0,0,0,1,1,0,1,1,1,1,1,1,0,0,0.02,0,0.04,0.08,0.055,0.12,0.11,0,0.23,0.105
1,0,0,1,1,0,1,1,1,1,1,1,0,0,5.01,4.835,5,5,3.72,5.02,5.025,4.42,5.05,5.02
0,1,0,1,1,0,1,1,1,1,1,1,0,0,0.025,0.01,0.04,0.485,0.32,0.07,0.14,0.01,0.27,0.125
1,1,0,1,1,0,1,1,1,1,1,1,0,0,3.515,1.49,5,5,5.02,5.02,5.015,1.48,5.035,5.015
0,0,1,1,1,0,1,1,1,1,1,1,0,0,0.015,0,0.04,0.085,0.05,0.065,0.095,0,0.19,0.105
1,0,1,1,1,0,1,1,1,1,1,1,0,0,5.01,5.01,5,5,5.015,5.015,5.025,5.01,5.01,5.02
0,1,1,1,1,0,1,1,1,1,1,1,0,0,0.07,0.03,0.04,0.505,0.05,0.1,0.325,0.02,0.71,0.125
1,1,1,1,1,0,1,1,1,1,1,1,0,0,5.015,5.01,5,5,2.895,5.02,5.03,5.01,5.05,5.02
0,0,0,0,0,1,1,1,1,1,1,1,0,0,0.04,0.02,0.02,0.145,0.085,0.07,0.2,0.01,0.415,0.035
1,0,0,0,0,1,1,1,1,1,1,1,0,0,5.01,5,5,5,5.01,5.01,5.025,5.005,5.035,5.02
0,1,0,0,0,1,1,1,1,1,1,1,0,0,0.08,0.04,0.07,0.255,0.215,0.345,0.4,0.03,0.78,0
1,1,0,0,0,1,1,1,1,1,1,1,0,0,5,5.01,5,5,5.01,5.005,5.03,5.005,5.005,5.02
0,0,1,0,0,1,1,1,1,1,1,1,0,0,0.04,0.02,0.02,0.145,0.095,0.215,0.205,0.01,0.395,0.04
1,0,1,0,0,1,1,1,1,1,1,1,0,0,5.005,5.005,5,5,5.01,5.01,5.02,5.005,5,5.02
0,1,1,0,0,1,1,1,1,1,1,1,0,0,0.09,0.04,0.065,0.26,0.135,0.075,0.43,0.04,0.92,0.005
1,1,1,0,0,1,1,1,1,1,1,1,0,0,5.01,5.005,5,5,5.01,5.01,5.01,5.01,5.04,5.02
0,0,0,1,0,1,1,1,1,1,1,1,0,0,0.035,0.01,0.02,0.14,0.055,0.055,0.19,0.02,0.445,0.04
1,0,0,1,0,1,1,1,1,1,1,1,0,0,5.01,5.01,5,5,5.01,5.01,5.005,5.005,5.03,5.02
0,1,0,1,0,1,1,1,1,1,1,1,0,0,0.06,0.03,0.07,0.245,0.075,0.15,0.29,0.02,0.65,0.005
1,1,0,1,0,1,1,1,1,1,1,1,0,0,5.01,5.005,5,5,5.005,5.01,5.02,5.01,5.015,5.02
0,0,1,1,0,1,1,1,1,1,1,1,0,0,0.03,0.015,0.02,0.14,0.12,0.1,0.2,0.02,0.405,0.04
1,0,1,1,0,1,1,1,1,1,1,1,0,0,5,5.01,5,5,5,5.01,5.02,5,5.05,5.02
0,1,1,1,0,1,1,1,1,1,1,1,0,0,0.07,0.03,0.075,0.25,0.095,0.12,0.34,0.025,0.77,0.005
1,1,1,1,0,1,1,1,1,1,1,1,0,0,0.92,0.405,5,5,5,5.01,4.22,0.41,5.065,5.005
0,0,0,0,1,1,1,1,1,1,1,1,0,0,0.04,0.02,0.02,0.14,0.255,0.12,0.19,0.01,0.39,0.095
1,0,0,0,1,1,1,1,1,1,1,1,0,0,5.005,5.01,5,5,5.01,5.01,5.005,5.005,5.03,5.02
0,1,0,0,1,1,1,1,1,1,1,1,0,0,0.1,0.04,0.07,0.255,0.165,0.115,0.45,0.04,1.045,0
1,1,0,0,1,1,1,1,1,1,1,1,0,0,5.01,5.005,5,5,5.01,5.01,5.02,5.01,5.01,5.015
0,0,1,0,1,1,1,1,1,1,1,1,0,0,0.035,0.015,0.02,0.14,0.28,0.08,0.18,0.01,0.375,0.095
1,0,1,0,1,1,1,1,1,1,1,1,0,0,5,5.01,5,5,5.01,5.01,5.04,5.01,5.035,5.02
0,1,1,0,1,1,1,1,1,1,1,1,0,0,0.08,0.035,0.07,0.265,0.15,0.14,0.4,0.03,0.76,0.005
1,1,1,0,1,1,1,1,1,1,1,1,0,0,5.005,5.01,5,5,5.01,5.01,5.03,5.005,5.045,5.02
0,0,0,1,1,1,1,1,1,1,1,1,0,0,0.035,0.02,0.02,0.14,0.22,0.06,0.19,0.01,0.39,0.1
1,0,0,1,1,1,1,1,1,1,1,1,0,0,5.005,5.01,5,5,5.01,5.01,5,5.005,5.06,5.02
0,1,0,1,1,1,1,1,1,1,1,1,0,0,0.085,0.04,0.07,0.26,0.085,0.14,0.44,0.035,0.87,0
1,1,0,1,1,1,1,1,1,1,1,1,0,0,5,5.01,5,5,5.01,5.01,5.01,5.005,5.05,5.01
0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.04,0.02,0.02,0.135,0.05,0.08,0.18,0.01,0.395,0.1
1,0,1,1,1,1,1,1,1,1,1,1,0,0,5.005,5.005,5,5,5.01,5.01,5.05,5.01,5.06,5.015
0,1,1,1,1,1,1,1,1,1,1,1,0,0,0.07,0.03,0.065,0.26,0.105,0.09,0.34,0.03,0.73,0.01
1,1,1,1,1,1,1,1,1,1,1,1,0,0,5.005,5.01,5,5,5.01,5.01,5.035,5.01,5.03,5.015
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01,0,0.07,0.125,0.115,0.04,0.08,0,0.18,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5.01,5,5,5,5.005,5.01,5.005,5.04,5.005
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.06,0.03,0.02,0.98,0.005,0.04,0.31,0.02,0.645,0.03
1,1,0,0,0,0,0,0,0,0,0,0,1,0,5.005,5.01,5,5,5.01,5.01,5.025,5.01,5.04,5.02
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.01,0,0.07,0.12,0.01,0.1,0.065,0,0.165,0
1,0,1,0,0,0,0,0,0,0,0,0,1,0,5.01,5.02,5,5,5.01,5.01,5.03,5.02,5.02,5.01
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.02,0,0.01,0.98,0.05,0.185,0.08,0,0.165,0
1,1,1,0,0,0,0,0,0,0,0,0,1,0,5.01,2.12,5,5,5.01,5.01,5.01,1.99,5.03,2.255
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.02,0.01,0.065,0.125,0.065,0.205,0.12,0.01,0.26,0.01
1,0,0,1,0,0,0,0,0,0,0,0,1,0,5.03,5.02,5,5,5.02,5.03,5.005,5.02,5.035,5.02
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.03,0.01,0.02,0.995,0.03,0.04,0.16,0.01,0.26,0.015
1,1,0,1,0,0,0,0,0,0,0,0,1,0,5.025,5.02,5,5,5.02,5.03,5.02,5.02,5.07,5.02
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.02,0.01,0.07,0.12,0.07,0.21,0.16,0.01,0.255,0.01
1,0,1,1,0,0,0,0,0,0,0,0,1,0,5.025,5.02,5,5,5.02,5.03,5.01,5.02,5.06,5.02
0,1,1,1,0,0,0,0,0,0,0,0,1,0,0.03,0.01,0.015,0.995,0.03,0.04,0.13,0.01,0.325,0.01
1,1,1,1,0,0,0,0,0,0,0,0,1,0,5.025,5.02,5,5,5.02,5.03,5.065,5.02,5.055,5.02
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.155,0.065,0.04,0.085,0.3,0.065,0.775,0.07,1.62,0.07
1,0,0,0,1,0,0,0,0,0,0,0,1,0,5.01,5.01,5,5,5.02,5.015,5.05,5.01,5.035,5.02
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.05,0.02,0.035,0.5,0.405,0.215,0.26,0.02,0.575,0.03
1,1,0,0,1,0,0,0,0,0,0,0,1,0,5.015,5.01,5,5,5.02,5.02,5.01,5.01,5.04,5.02
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.145,0.07,0.04,0.09,0.3,0.06,0.78,0.065,1.585,0.07
1,0,1,0,1,0,0,0,0,0,0,0,1,0,5.01,5.01,5,5,5.02,5.02,5.02,5.01,5.02,5.02
0,1,1,0,1,0,0,0,0,0,0,0,1,0,0.045,0.02,0.03,0.5,0.35,0.23,0.29,0.02,0.525,0.035
1,1,1,0,1,0,0,0,0,0,0,0,1,0,5.02,5.01,5,5,5.02,5.02,5.025,5.015,5.035,5.02
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.15,0.07,0.045,0.08,0.31,0.07,0.765,0.07,1.59,0.06
1,0,0,1,1,0,0,0,0,0,0,0,1,0,5.01,5.01,5,5,5.02,5.02,5.03,5.01,5.08,5.02
0,1,0,1,1,0,0,0,0,0,0,0,1,0,0.05,0.02,0.03,0.485,0.345,0.215,0.275,0.02,0.61,0.03
1,1,0,1,1,0,0,0,0,0,0,0,1,0,5.015,5.015,5,5,5.02,5.015,5,5.015,5.04,5.02
0,0,1,1,1,0,0,0,0,0,0,0,1,0,0.14,0.07,0.04,0.085,0.3,0.07,0.78,0.065,1.62,0.065
1,0,1,1,1,0,0,0,0,0,0,0,1,0,5.01,5.01,5,5,5.015,5.02,5.045,5.015,5.04,5.02
0,1,1,1,1,0,0,0,0,0,0,0,1,0,0.045,0.02,0.03,0.51,0.35,0.23,0.31,0.02,0.55,0.035
1,1,1,1,1,0,0,0,0,0,0,0,1,0,5.015,5.01,5,5,5.02,5.02,5.03,5.02,5.01,5.015
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.04,0.02,0.02,0.14,0.205,0.1,0.185,0.01,0.425,0.02
1,0,0,0,0,1,0,0,0,0,0,0,1,0,5,5,5,5,4.025,5,5.005,5,5.03,5.01
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.07,0.025,0.075,0.255,0.135,0.04,0.3,0.025,0.71,0
1,1,0,0,0,1,0,0,0,0,0,0,1,0,5,5.01,5,5,5,5,5.005,5,5.015,5.01
0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.04,0.015,0.02,0.14,0.305,0.13,0.19,0.01,0.39,0.02
1,0,1,0,0,1,0,0,0,0,0,0,1,0,5,5,5,5,4.025,5,5.01,5,5.025,5.01
0,1,1,0,0,1,0,0,0,0,0,0,1,0,0.07,0.03,0.08,0.255,0.14,0.04,0.35,0.025,0.745,0
1,1,1,0,0,1,0,0,0,0,0,0,1,0,5,5.01,5,5,5,5,5.01,5,5.05,5.01
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.035,0.015,0.02,0.15,0.2,0.095,0.19,0.005,0.43,0.02
1,0,0,1,0,1,0,0,0,0,0,0,1,0,5.005,5,5,5,5.005,5.005,5.035,5.01,5.045,5.01
0,1,0,1,0,1,0,0,0,0,0,0,1,0,0.08,0.035,0.07,0.255,0.075,0.04,0.39,0.03,0.76,0
1,1,0,1,0,1,0,0,0,0,0,0,1,0,5.005,5,5,5,5.005,5,5.015,5,5.025,5.01
0,0,1,1,0,1,0,0,0,0,0,0,1,0,0.04,0.02,0.02,0.145,0.2,0.1,0.215,0.015,0.425,0.025
1,0,1,1,0,1,0,0,0,0,0,0,1,0,5.005,5,5,5,5.005,5.005,5.02,5,5.025,5.01
0,1,1,1,0,1,0,0,0,0,0,0,1,0,0.08,0.035,0.07,0.255,0.065,0.04,0.38,0.03,0.765,0
1,1,1,1,0,1,0,0,0,0,0,0,1,0,5.005,5,5,5,5.005,5,5.005,5,5.02,5.01
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.04,0.01,0.02,0.135,0.155,0.235,0.2,0.01,0.36,0.015
1,0,0,0,1,1,0,0,0,0,0,0,1,0,5,5.01,5,5,5.005,5,5.015,5,5.05,5.01
0,1,0,0,1,1,0,0,0,0,0,0,1,0,0.1,0.04,0.07,0.255,0.06,0.04,0.48,0.04,1.04,0
1,1,0,0,1,1,0,0,0,0,0,0,1,0,5.005,5.01,5,5,5.005,5,5.015,5,5.075,5.01
0,0,1,0,1,1,0,0,0,0,0,0,1,0,0.04,0.02,0.02,0.14,0.155,0.235,0.2,0.01,0.395,0.02
1,0,1,0,1,1,0,0,0,0,0,0,1,0,5.01,5.01,5,5,5.005,5,5.02,5,5.025,5
0,1,1,0,1,1,0,0,0,0,0,0,1,0,0.1,0.04,0.075,0.25,0.06,0.04,0.515,0.04,1.035,0
1,1,1,0,1,1,0,0,0,0,0,0,1,0,5.01,5.005,5,5,5,5,5,5,5.035,5.005
0,0,0,1,1,1,0,0,0,0,0,0,1,0,0.035,0.015,0.02,0.14,0.155,0.235,0.22,0.015,0.335,0.02
1,0,0,1,1,1,0,0,0,0,0,0,1,0,5.01,5.01,5,5,5.01,5,5.02,5,5.04,5.01
0,1,0,1,1,1,0,0,0,0,0,0,1,0,0.1,0.05,0.07,0.255,0.06,0.04,0.51,0.04,1.02,0
1,1,0,1,1,1,0,0,0,0,0,0,1,0,5.01,5.005,5,5,5.005,5,5.015,5,5.025,5.01
0,0,1,1,1,1,0,0,0,0,0,0,1,0,0.035,0.02,0.02,0.145,0.16,0.245,0.19,0.01,0.425,0.02
1,0,1,1,1,1,0,0,0,0,0,0,1,0,5.005,5.01,5,5,5.005,5,5.025,5,5.02,5.01
0,1,1,1,1,1,0,0,0,0,0,0,1,0,0.1,0.045,0.07,0.255,0.06,0.04,0.5,0.04,0.995,0.005
1,1,1,1,1,1,0,0,0,0,0,0,1,0,5.005,5.01,5,5,5,5,5.015,5,5.05,5.01
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.04,0.02,0.07,0.12,0.62,0.12,0.17,0.01,0.43,0.015
1,0,0,0,0,0,1,0,0,0,0,0,1,0,5,5,5,5,5.005,5,5.03,5.005,5.05,5
0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.06,0.03,0.015,0.975,0.545,0.08,0.31,0.02,0.595,0.03
1,1,0,0,0,0,1,0,0,0,0,0,1,0,5.01,4.14,5,5,5.015,1.38,5.025,3.725,5.05,5.01
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.03,0.01,0.065,0.12,0.485,0.185,0.16,0.01,0.315,0.015
1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.51,0.245,5,5,0.32,5.01,2.56,0.225,4.49,1.1
0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.095,0.04,0.02,0.985,0.04,0.245,0.48,0.04,1,0.03
1,1,1,0,0,0,1,0,0,0,0,0,1,0,5.01,5.01,5,5,0.225,5.01,5.035,5.01,5.02,5
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.025,0.01,0.065,0.13,0.015,0.08,0.17,0.01,0.31,0.015
1,0,0,1,0,0,1,0,0,0,0,0,1,0,5.03,5.025,5,5,5.02,5.025,5.04,5.02,5.05,5.02
0,1,0,1,0,0,1,0,0,0,0,0,1,0,0.03,0.01,0.015,0.985,0.075,0.03,0.125,0.01,0.335,0.065
1,1,0,1,0,0,1,0,0,0,0,0,1,0,5.03,5.04,5,5,5.02,5.025,5.05,5.045,5.01,5.01
0,0,1,1,0,0,1,0,0,0,0,0,1,0,0.04,0.015,0.065,0.12,0.07,0.045,0.135,0.015,0.4,0.02
1,0,1,1,0,0,1,0,0,0,0,0,1,0,5.03,5.02,5,5,5.015,5.03,5.04,5.02,5.01,2.695
0,1,1,1,0,0,1,0,0,0,0,0,1,0,0.02,0.005,0.015,0.975,0.065,0.01,0.09,0,0.28,0.135
1,1,1,1,0,0,1,0,0,0,0,0,1,0,5.03,5.02,5,5,5.02,5.03,5.055,5.02,5.035,4.295
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.105,0.045,0.04,0.085,0.03,0.04,0.43,0.05,1.125,0.015
1,0,0,0,1,0,1,0,0,0,0,0,1,0,5.01,5.01,5,5,5.02,5.02,5.025,5.01,5.055,5.01
0,1,0,0,1,0,1,0,0,0,0,0,1,0,0.125,0.055,0.035,0.495,0.15,0.05,0.49,0.05,1.27,0.03
1,1,0,0,1,0,1,0,0,0,0,0,1,0,5.01,5.01,5,5,5.015,5.02,5.02,5.01,5.035,5
0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.04,0.02,0.04,0.08,0.19,0.01,0.18,0.02,0.425,0.015
1,0,1,0,1,0,1,0,0,0,0,0,1,0,5.01,5.01,5,5,5.02,5.02,5.015,5.01,5.02,5.005
0,1,1,0,1,0,1,0,0,0,0,0,1,0,0.11,0.05,0.03,0.495,0.02,0.08,0.43,0.05,1.15,0.03
1,1,1,0,1,0,1,0,0,0,0,0,1,0,5.01,5.01,5,5,5.015,5.02,5.03,5.015,5.02,5.005
0,0,0,1,1,0,1,0,0,0,0,0,1,0,0.02,0,0.04,0.08,0.055,0.115,0.07,0.005,0.245,0.01
1,0,0,1,1,0,1,0,0,0,0,0,1,0,5.01,4.85,5,5,3.65,5.02,5.03,4.395,5.025,5
0,1,0,1,1,0,1,0,0,0,0,0,1,0,0.025,0.01,0.03,0.505,0.335,0.07,0.095,0.01,0.28,0.04
1,1,0,1,1,0,1,0,0,0,0,0,1,0,3.55,1.53,5,5,5.02,5.02,5.025,1.47,5.06,3.465
0,0,1,1,1,0,1,0,0,0,0,0,1,0,0.02,0,0.04,0.08,0.055,0.06,0.085,0,0.205,0.015
1,0,1,1,1,0,1,0,0,0,0,0,1,0,5.01,5.01,5,5,5.015,5.02,5.035,5.01,5.06,0.59
0,1,1,1,1,0,1,0,0,0,0,0,1,0,0.07,0.03,0.035,0.5,0.05,0.09,0.265,0.03,0.685,0.04
1,1,1,1,1,0,1,0,0,0,0,0,1,0,5.015,5.01,5,5,2.86,5.02,5.01,5.01,5.05,5
0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.04,0.015,0.02,0.14,0.09,0.08,0.16,0.01,0.365,0.02
1,0,0,0,0,1,1,0,0,0,0,0,1,0,5.005,5,5,5,5.01,5.015,5.02,5.005,5.025,5.01
0,1,0,0,0,1,1,0,0,0,0,0,1,0,0.08,0.035,0.07,0.255,0.205,0.33,0.325,0.03,0.815,0.045
1,1,0,0,0,1,1,0,0,0,0,0,1,0,5.01,5.01,5,5,5.01,5.01,5,5.01,5.015,4.93
0,0,1,0,0,1,1,0,0,0,0,0,1,0,0.04,0.02,0.02,0.14,0.1,0.22,0.15,0.015,0.425,0.02
1,0,1,0,0,1,1,0,0,0,0,0,1,0,5.01,5.005,5,5,5.01,5.01,5.02,5.01,5.015,5.01
0,1,1,0,0,1,1,0,0,0,0,0,1,0,0.09,0.04,0.07,0.26,0.135,0.075,0.34,0.035,0.925,0.05
1,1,1,0,0,1,1,0,0,0,0,0,1,0,5.005,5.01,5,5,5.005,5.01,5.015,5.005,5.02,5.01
0,0,0,1,0,1,1,0,0,0,0,0,1,0,0.04,0.02,0.02,0.14,0.06,0.06,0.16,0.01,0.435,0.02
1,0,0,1,0,1,1,0,0,0,0,0,1,0,5.005,5,5,5,5.01,5.01,5.045,5.01,5.035,5
0,1,0,1,0,1,1,0,0,0,0,0,1,0,0.06,0.025,0.07,0.255,0.08,0.15,0.225,0.02,0.66,0.045
1,1,0,1,0,1,1,0,0,0,0,0,1,0,5.01,5,5,5,5.01,5.01,5.01,5.005,5.015,2.915
0,0,1,1,0,1,1,0,0,0,0,0,1,0,0.035,0.02,0.02,0.14,0.125,0.105,0.16,0.01,0.41,0.02
1,0,1,1,0,1,1,0,0,0,0,0,1,0,5,5.01,5,5,5.005,5.01,5.02,5.005,5.06,5.01
0,1,1,1,0,1,1,0,0,0,0,0,1,0,0.07,0.03,0.07,0.26,0.1,0.12,0.285,0.03,0.78,0.04
1,1,1,1,0,1,1,0,0,0,0,0,1,0,0.915,0.4,5,5,5.005,5.01,3.365,0.395,5.055,5
0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.04,0.02,0.02,0.14,0.255,0.105,0.16,0.015,0.445,0.02
1,0,0,0,1,1,1,0,0,0,0,0,1,0,5.005,5.01,5,5,5.01,5.01,5.005,5,5.07,5.005
0,1,0,0,1,1,1,0,0,0,0,0,1,0,0.1,0.04,0.065,0.25,0.165,0.11,0.38,0.04,0.99,0.05
1,1,0,0,1,1,1,0,0,0,0,0,1,0,5.005,5.01,5,5,5.01,5.01,5.01,5.01,5.02,5
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0.03,0.02,0.02,0.14,0.29,0.08,0.16,0.01,0.34,0.02
1,0,1,0,1,1,1,0,0,0,0,0,1,0,5.005,5.01,5,5,5.01,5.01,5.015,5.01,5.015,5.01
0,1,1,0,1,1,1,0,0,0,0,0,1,0,0.075,0.035,0.07,0.25,0.15,0.145,0.295,0.03,0.755,0.04
1,1,1,0,1,1,1,0,0,0,0,0,1,0,5.005,5.01,5,5,5.01,5.01,5.005,5,5,5.005
0,0,0,1,1,1,1,0,0,0,0,0,1,0,0.04,0.02,0.02,0.14,0.225,0.055,0.15,0.01,0.44,0.02
1,0,0,1,1,1,1,0,0,0,0,0,1,0,5.01,5.01,5,5,5.01,5.01,5.035,5.005,5.055,5.005
0,1,0,1,1,1,1,0,0,0,0,0,1,0,0.085,0.04,0.07,0.26,0.09,0.14,0.345,0.035,0.92,0.04
1,1,0,1,1,1,1,0,0,0,0,0,1,0,5.01,5.01,5,5,5.01,5.01,5.015,5.005,5.055,5.01
0,0,1,1,1,1,1,0,0,0,0,0,1,0,0.035,0.015,0.02,0.14,0.05,0.08,0.15,0.01,0.41,0.02
1,0,1,1,1,1,1,0,0,0,0,0,1,0,5.005,5.005,5,5,5.01,5.005,5.04,5.01,5.04,5.01
0,1,1,1,1,1,1,0,0,0,0,0,1,0,0.07,0.03,0.07,0.26,0.105,0.095,0.35,0.03,0.68,0.04
1,1,1,1,1,1,1,0,0,0,0,0,1,0,5.005,5.01,5,5,5.01,5.01,5.035,5,5.065,5.01
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.01,0,0.06,0.125,0.115,0.04,0.08,0,0.13,0.075
1,0,0,0,0,0,0,1,0,0,0,0,1,0,5,5.01,5,5,5,5,5.015,5,5.005,5
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.055,0.025,0.015,0.975,0.005,0.035,0.29,0.02,0.57,0.04
1,1,0,0,0,0,0,1,0,0,0,0,1,0,5,5.015,5,5,5.01,5.01,5.02,5.01,5.03,5
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.01,0,0.065,0.125,0.01,0.1,0.08,0,0.115,0.075
1,0,1,0,0,0,0,1,0,0,0,0,1,0,5.01,5.02,5,5,5.01,5.01,5.025,5.02,5.01,5
0,1,1,0,0,0,0,1,0,0,0,0,1,0,0.015,0,0.015,0.975,0.045,0.175,0.065,0,0.15,0.05
1,1,1,0,0,0,0,1,0,0,0,0,1,0,4.985,2.105,5,5,5.01,5.01,5.02,1.905,5.035,5.005
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.02,0.005,0.065,0.13,0.07,0.205,0.11,0.01,0.285,0.07
1,0,0,1,0,0,0,1,0,0,0,0,1,0,5.03,5.02,5,5,5.02,5.03,5.02,5.025,5.04,5
