train_time,test_time,accuracy
20.88777137,0.64367938,72.22280171
20.9043541,0.653604746,72.22280171
20.92098212,0.653368473,72.22280171
20.84312582,0.654762506,72.22280171
21.04813671,0.632976294,72.2384479
20.90362644,0.639609575,72.2384479
20.82934475,0.644381046,72.19672473
20.91200352,0.640910625,72.19672473
32.92652321,0.640336037,72.108063
33.05803585,0.636194468,72.108063
32.97724676,0.646884203,72.12370919
32.98875356,0.643335342,72.12370919
32.96360779,0.6389575,72.15500156
32.97784853,0.636443138,72.15500156
33.01513505,0.63933897,72.10284761
33.10686898,0.648715734,72.10284761
15.70407653,0.641091585,72.08198602
15.77595735,0.63509059,72.08198602
15.74198055,0.654350519,72.10284761
15.73501873,0.636859417,72.10284761
15.69059682,0.645588636,72.06633984
15.819489,0.641948462,72.06633984
15.72613668,0.63577795,72.05590904
15.70260811,0.633535385,72.05590904
24.50927472,0.632627249,72.08198602
24.48175621,0.647066355,72.08198602
24.45464516,0.641343355,72.09763221
24.47788048,0.641782761,72.09763221
24.52909756,0.645561457,72.09763221
24.75097466,0.633799076,72.09763221
24.55095935,0.632106066,72.05590904
24.59559917,0.639545202,72.05590904
20.92851591,0.635348558,72.22280171
20.96988106,0.655792475,72.22280171
21.01486111,0.635271311,72.22280171
20.98755956,0.636131287,72.22280171
20.90679121,0.653497219,72.2384479
20.93926668,0.637049675,72.2384479
21.025805,0.647796869,72.19672473
20.96037102,0.642932892,72.19672473
33.15916204,0.641591549,72.108063
33.08983135,0.63988781,72.108063
33.15105295,0.648498297,72.12370919
33.29036403,0.633516312,72.12370919
33.06587911,0.631155014,72.15500156
33.03651333,0.646327019,72.15500156
33.21358466,0.642128468,72.10284761
33.08991337,0.640471697,72.10284761
15.79818797,0.638778687,72.08198602
15.86494422,0.644608259,72.08198602
15.8864615,0.642647028,72.10284761
15.81305981,0.648154259,72.10284761
15.74738407,0.633307695,72.06633984
15.94179201,0.64529562,72.06633984
15.86034989,0.637709856,72.05590904
15.86709023,0.643861294,72.05590904
24.57546735,0.64699173,72.08198602
24.52721643,0.644465208,72.08198602
24.73493576,0.643535376,72.09763221
24.60527968,0.65405488,72.09763221
24.60284448,0.641438961,72.09763221
24.59491062,0.634886265,72.09763221
24.6598177,0.650957823,72.05590904
24.6595757,0.634173155,72.05590904
20.74665308,0.626886606,63.9407531
54.25112271,3.250838041,63.9407531
108.2278111,3.234007835,63.9459685
108.6326365,3.290997505,63.9459685
108.2394938,3.207043409,63.95118389
108.4588869,3.212461233,63.95118389
108.4622955,3.233628988,63.95118389
108.331743,3.253720284,63.95118389
171.1630819,2.619496346,63.45572129
171.8301644,2.635565996,63.45572129
171.6818719,2.655447006,63.45572129
171.9117219,2.596176147,63.45572129
171.7325349,2.637854099,63.45572129
173.28302,2.617698431,63.45572129
171.6351585,2.576652765,63.45572129
172.3400764,2.663408041,63.45572129
83.0508635,3.155696154,65.33847919
82.59787822,3.175274134,65.33847919
82.69836211,3.155422688,65.33847919
82.72663283,3.155531645,65.33847919
82.65703559,3.187588215,65.33847919
82.66135263,3.212826729,65.33847919
82.92495918,3.208828688,65.33847919
83.1553297,3.169441462,65.33847919
128.5184557,2.516154289,63.1897361
128.0825498,2.492590427,63.1897361
128.5298967,2.480951786,63.1897361
128.9411876,2.393433809,63.1897361
127.9745784,2.373690367,63.1897361
128.0958416,2.450949669,63.1897361
128.3669546,2.436640501,63.1897361
128.5926991,2.431934834,63.1897361
108.348115,3.110854387,63.9407531
108.3218629,3.113969088,63.9407531
108.2424023,3.109948397,63.9459685
107.9723315,3.133286238,63.9459685
108.0868065,3.091902018,63.95118389
108.5456638,1.744724989,63.95118389
68.99467683,3.110837936,63.95118389
108.4222753,3.113636971,63.95118389
171.4083662,2.51679945,63.45572129
170.6471374,2.536683559,63.45572129
171.335228,2.521177769,63.45572129
171.1480751,2.540701151,63.45572129
170.6026511,2.513504744,63.45572129
170.8111842,2.534576178,63.45572129
171.076329,2.501533508,63.45572129
171.4220424,2.55655694,63.45572129
82.97139645,3.033088207,65.33847919
82.73044133,3.085174561,65.33847919
83.10394669,3.044426203,65.33847919
82.89471626,3.054454565,65.33847919
82.80312109,3.065838814,65.33847919
82.74732542,3.027161837,65.33847919
83.33897901,3.0497365,65.33847919
83.09317565,3.031672716,65.33847919
128.5362976,2.415233612,63.1897361
128.5958021,2.416438103,63.1897361
129.1361754,2.434763908,63.1897361
128.8473549,2.395396709,63.1897361
128.7022073,2.377083778,63.1897361
92.61269212,1.026458263,63.1897361
124.6437747,2.440072536,63.1897361
129.3396389,2.45714283,63.1897361
391.8646843,11.54592991,80.43705017
390.648155,11.68524647,80.43705017
372.9569809,11.07434297,80.42140398
371.3406568,10.7663312,80.42140398
372.2858586,11.00629234,80.29623448
371.5222261,10.8498683,80.29623448
372.0541313,11.07457113,80.37446542
329.1082675,10.65563488,80.37446542
