min_child_weight,nthread,n_estimators,max_depth,learning_rate,max_delta_step,subsample,colsample_bytree,lambda,alpha,scale_pos_weight,train_time,test_time,accuracy
0,0,0,0,0,0,0,0,0,0,0,20.88777137,0.64367938,72.22280171
0,0,0,0,0,0,0,0,0,0,1,20.9043541,0.653604746,72.22280171
0,0,0,0,0,0,0,0,0,1,0,20.92098212,0.653368473,72.22280171
0,0,0,0,0,0,0,0,0,1,1,20.84312582,0.654762506,72.22280171
0,0,0,0,0,0,0,0,1,0,0,21.04813671,0.632976294,72.2384479
0,0,0,0,0,0,0,0,1,0,1,20.90362644,0.639609575,72.2384479
0,0,0,0,0,0,0,0,1,1,0,20.82934475,0.644381046,72.19672473
0,0,0,0,0,0,0,0,1,1,1,20.91200352,0.640910625,72.19672473
0,0,0,0,0,0,0,1,0,0,0,32.92652321,0.640336037,72.108063
0,0,0,0,0,0,0,1,0,0,1,33.05803585,0.636194468,72.108063
0,0,0,0,0,0,0,1,0,1,0,32.97724676,0.646884203,72.12370919
0,0,0,0,0,0,0,1,0,1,1,32.98875356,0.643335342,72.12370919
0,0,0,0,0,0,0,1,1,0,0,32.96360779,0.6389575,72.15500156
0,0,0,0,0,0,0,1,1,0,1,32.97784853,0.636443138,72.15500156
0,0,0,0,0,0,0,1,1,1,0,33.01513505,0.63933897,72.10284761
0,0,0,0,0,0,0,1,1,1,1,33.10686898,0.648715734,72.10284761
0,0,0,0,0,0,1,0,0,0,0,15.70407653,0.641091585,72.08198602
0,0,0,0,0,0,1,0,0,0,1,15.77595735,0.63509059,72.08198602
0,0,0,0,0,0,1,0,0,1,0,15.74198055,0.654350519,72.10284761
0,0,0,0,0,0,1,0,0,1,1,15.73501873,0.636859417,72.10284761
0,0,0,0,0,0,1,0,1,0,0,15.69059682,0.645588636,72.06633984
0,0,0,0,0,0,1,0,1,0,1,15.819489,0.641948462,72.06633984
0,0,0,0,0,0,1,0,1,1,0,15.72613668,0.63577795,72.05590904
0,0,0,0,0,0,1,0,1,1,1,15.70260811,0.633535385,72.05590904
0,0,0,0,0,0,1,1,0,0,0,24.50927472,0.632627249,72.08198602
0,0,0,0,0,0,1,1,0,0,1,24.48175621,0.647066355,72.08198602
0,0,0,0,0,0,1,1,0,1,0,24.45464516,0.641343355,72.09763221
0,0,0,0,0,0,1,1,0,1,1,24.47788048,0.641782761,72.09763221
0,0,0,0,0,0,1,1,1,0,0,24.52909756,0.645561457,72.09763221
0,0,0,0,0,0,1,1,1,0,1,24.75097466,0.633799076,72.09763221
0,0,0,0,0,0,1,1,1,1,0,24.55095935,0.632106066,72.05590904
0,0,0,0,0,0,1,1,1,1,1,24.59559917,0.639545202,72.05590904
0,0,0,0,0,1,0,0,0,0,0,20.92851591,0.635348558,72.22280171
0,0,0,0,0,1,0,0,0,0,1,20.96988106,0.655792475,72.22280171
0,0,0,0,0,1,0,0,0,1,0,21.01486111,0.635271311,72.22280171
0,0,0,0,0,1,0,0,0,1,1,20.98755956,0.636131287,72.22280171
0,0,0,0,0,1,0,0,1,0,0,20.90679121,0.653497219,72.2384479
0,0,0,0,0,1,0,0,1,0,1,20.93926668,0.637049675,72.2384479
0,0,0,0,0,1,0,0,1,1,0,21.025805,0.647796869,72.19672473
0,0,0,0,0,1,0,0,1,1,1,20.96037102,0.642932892,72.19672473
0,0,0,0,0,1,0,1,0,0,0,33.15916204,0.641591549,72.108063
0,0,0,0,0,1,0,1,0,0,1,33.08983135,0.63988781,72.108063
0,0,0,0,0,1,0,1,0,1,0,33.15105295,0.648498297,72.12370919
0,0,0,0,0,1,0,1,0,1,1,33.29036403,0.633516312,72.12370919
0,0,0,0,0,1,0,1,1,0,0,33.06587911,0.631155014,72.15500156
0,0,0,0,0,1,0,1,1,0,1,33.03651333,0.646327019,72.15500156
0,0,0,0,0,1,0,1,1,1,0,33.21358466,0.642128468,72.10284761
0,0,0,0,0,1,0,1,1,1,1,33.08991337,0.640471697,72.10284761
