config_id,train_time,accuracy
4.204212666,0.021177292,91.03641457
4.250855446,0.022922039,91.03641457
4.314450741,0.021887779,88.79551821
4.212651491,0.02124095,88.79551821
4.357851028,0.022766352,90.19607843
4.253693819,0.021522284,90.19607843
4.431172371,0.027092218,88.23529412
4.710621119,0.022891998,88.23529412
6.995064497,0.02454114,90.47619048
7.059353113,0.023134708,90.47619048
6.929654598,0.022460222,89.3557423
6.929090261,0.024012566,89.3557423
7.015126228,0.023315191,89.3557423
7.032507181,0.023032427,89.3557423
7.099682808,0.021758318,88.23529412
7.102975368,0.022832632,88.23529412
4.34992528,0.025072336,88.79551821
4.085096359,0.024084806,88.79551821
4.411587,0.023099661,89.07563025
4.15611434,0.023439407,89.07563025
4.153197765,0.021215677,89.91596639
4.338097572,0.030987978,89.91596639
4.292851448,0.024251938,88.79551821
4.185328484,0.023061514,88.79551821
6.809030056,0.021962643,91.03641457
6.993149757,0.023802042,91.03641457
7.005512238,0.023532152,89.3557423
7.171186447,0.023774147,89.3557423
6.865565777,0.022685528,90.19607843
6.837286711,0.022340536,90.19607843
6.815313816,0.02153039,89.63585434
6.840713978,0.023276091,89.63585434
4.248583317,0.023472071,91.03641457
4.231042147,0.02233386,91.03641457
4.280351162,0.021473169,88.79551821
4.245104313,0.023580074,88.79551821
4.242316723,0.022959948,90.19607843
4.210551977,0.022170305,90.19607843
4.266141415,0.02276063,88.23529412
4.442695856,0.023027182,88.23529412
6.971152782,0.021456003,90.47619048
6.856479168,0.022306204,90.47619048
6.971022844,0.023063421,89.3557423
6.871712685,0.023361444,89.3557423
6.835029602,0.024695635,89.3557423
6.883856773,0.021100521,89.3557423
6.920585394,0.021897793,88.23529412
7.030667543,0.022903442,88.23529412
4.318639994,0.024077892,88.79551821
4.177594423,0.022021294,88.79551821
4.106695175,0.023366213,89.07563025
4.068928242,0.025382757,89.07563025
4.118543148,0.021625996,89.91596639
4.037541866,0.021675825,89.91596639
4.071195602,0.022669554,88.79551821
4.075652838,0.022150517,88.79551821
6.733614206,0.021119118,91.03641457
6.719479561,0.027213097,91.03641457
6.789952755,0.021950722,89.3557423
6.928618908,0.025033474,89.3557423
6.952732325,0.021576643,90.19607843
6.912620306,0.021360159,90.19607843
6.856925011,0.022153378,89.63585434
6.78881979,0.02419591,89.63585434
4.314827919,0.021175385,82.07282913
4.249762774,0.021869898,82.07282913
4.237660646,0.022456884,82.07282913
4.229117632,0.022848368,82.07282913
4.252729416,0.022303343,81.51260504
4.210609913,0.024133205,81.51260504
4.420457602,0.026728392,81.232493
4.559291124,0.023910761,81.232493
6.973114967,0.022974014,71.42857143
6.897921085,0.023393154,71.42857143
6.936531067,0.020904303,71.42857143
6.901305676,0.021915674,71.42857143
6.954142809,0.022259712,70.0280112
7.017999411,0.021515846,70.0280112
6.969513893,0.022226572,69.46778711
7.010348797,0.020596504,69.46778711
4.291699648,0.024024487,81.51260504
4.114629269,0.021350622,81.51260504
4.056315899,0.025841475,80.95238095
4.095757484,0.022367954,80.95238095
4.143235207,0.021668434,79.83193277
4.009194374,0.021737576,79.83193277
4.118354082,0.023934364,79.83193277
3.982340097,0.023771286,79.83193277
6.839698315,0.02223897,65.54621849
7.1072855,0.021581411,65.54621849
7.103676319,0.021649122,65.54621849
7.206302643,0.022165537,65.54621849
7.345010281,0.021289587,65.26610644
6.923677206,0.021327972,65.26610644
7.457774639,0.020388365,65.26610644
6.92449832,0.023603916,65.26610644
4.352024555,0.021715641,82.07282913
4.261122227,0.021652937,82.07282913
4.169796467,0.021103144,82.07282913
4.327259302,0.021922112,82.07282913
4.440760851,0.023669481,81.51260504
4.248877287,0.024234533,81.51260504
4.305694818,0.021437168,81.232493
4.43290329,0.021589518,81.232493
7.123109818,0.0251472,71.42857143
7.262203455,0.022207737,71.42857143
6.996369362,0.021747589,71.42857143
6.887863874,0.024306059,71.42857143
6.974793196,0.021983147,70.0280112
6.957933426,0.021904469,70.0280112
6.878038645,0.022370815,69.46778711
7.069391966,0.022042513,69.46778711
4.324823856,0.021607399,81.51260504
4.047049522,0.021455526,81.51260504
4.235754967,0.02295804,80.95238095
4.05869031,0.023822069,80.95238095
4.114724159,0.020865679,79.83193277
4.315728426,0.022168636,79.83193277
4.114639759,0.021132946,79.83193277
4.163925171,0.022826195,79.83193277
6.758763075,0.022469044,65.54621849
6.673815489,0.022433043,65.54621849
6.757176876,0.021280289,65.54621849
7.046188116,0.02133441,65.54621849
6.983729839,0.02021575,65.26610644
6.801618814,0.021678686,65.26610644
6.79621911,0.024667263,65.26610644
6.74296093,0.021136045,65.26610644
11.81294584,0.043227911,89.91596639
11.96516538,0.044452667,89.91596639
11.90453506,0.043928623,90.75630252
11.38962245,0.042422056,90.75630252
12.23145628,0.045792341,91.03641457
11.96383405,0.047632694,91.03641457
11.84101582,0.042335272,89.91596639
12.12382364,0.045989513,89.91596639
